Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,L,M,temp_diff,TorqueSpeed,Torque_per_rpm,Air temperature [K]_zscore_abs,Process temperature [K]_zscore_abs,Rotational speed [rpm]_zscore_abs,Torque [Nm]_zscore_abs,Tool wear [min]_zscore_abs,Tool_wear_bin,TempDiff_x_ToolWear,anomaly_score,anomaly_flag
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,False,True,10.5,66382.79999999999,0.027595099935525464,0.9523418222441307,0.9473125179002547,0.06818173099879714,0.2821856456552538,1.6958989429947442,low,0.0,0.16904265065076007,0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,True,False,10.5,65190.399999999994,0.032883522727272727,0.9023482885056827,0.8799150024686869,0.729435030658941,0.6332763536643781,1.6487692561091736,low,31.5,0.17913600158969833,0
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,True,False,10.399999999999977,74001.2,0.032977303070761015,0.9523418222441307,1.0147100333318608,0.22743846737784706,0.9442424093296026,1.6173494648521265,low,51.999999999999886,0.14777274321209077,0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,True,False,10.400000000000034,56603.5,0.027564549895324496,0.9023482885056827,0.9473125179002547,0.5899915408586371,0.048842736181920234,1.5859296735950794,low,72.80000000000024,0.18434377219659542,0
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,True,False,10.5,56320.0,0.028409090909090908,0.9023482885056827,0.8799150024686869,0.729435030658941,0.001313079247954664,1.5545098823380323,low,94.5,0.17293562003301677,0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,False,True,10.5,59707.5,0.029403508771929824,0.9523418222441307,0.9473125179002547,0.6346134575947343,0.19190517788147912,1.5230900910809853,low,115.5,0.18911399008655227,0
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,True,False,10.5,66059.2,0.027214377406931962,0.9523418222441307,0.9473125179002547,0.10722590814288223,0.24206099331135403,1.4759604041954146,low,147.0,0.18597180673776825,0
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,True,False,10.5,61385.4,0.02632612966601179,0.9523418222441307,0.9473125179002547,0.06568401920949457,0.021375405419904906,1.4445406129383676,low,168.0,0.19322465104259645,0
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,False,True,10.399999999999977,47676.200000000004,0.01715656868626275,0.8523547547672063,0.8799150024686869,0.7151995236722071,1.1422395125531928,1.4131208216813205,low,187.1999999999996,0.13409708057387065,0
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,False,True,10.5,48748.0,0.016082711085583,0.752367687290282,0.6777224561739067,1.1279522534811066,1.2024264910690428,1.3659911347957499,low,220.5,0.12604382197867897,0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,False,False,10.5,42589.799999999996,0.013411896745230079,0.8023612210287584,0.7451199716055128,1.3566395767536048,1.613704177594017,1.3188614479101792,low,252.0,0.10199290494451585,0
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,False,False,10.5,63038.899999999994,0.031131412508784255,0.7023741535518057,0.6103249407423005,0.6457689367787587,0.4326530919448785,1.2403119697675615,low,304.5,0.2103036997823025,0
